gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pou2f1	2178.589416343028	-0.003924067246358848	0.021483472668283377	-0.18265516506333043	0.8550685969222093	0.9437436615125503
Pou2f2	75.82078048637159	0.07699279467635702	0.05503175678378298	1.39906118168929	0.16179463703335725	0.40856757757176787
Pou2f3	15.34859944393795	0.3811415011072677	0.14573399426361822	2.6153232334922545	0.008914304990070109	0.07161562753821019
Pou3f1	208.8056465898657	0.01055529769458187	0.09144037179051798	0.11543366991948752	0.9081013925925665	0.9649337827787816
Pou3f2	6.920739916096257	0.28258230506659965	0.18997050165057902	1.4875062318167982	0.1368811585408591	0.37269201648179173
Pou3f3	792.155286135597	0.3144755986299037	0.1420941959592305	2.2131487954661613	0.026887388938391776	0.1426590872644934
Pou4f1	15.769808227508387	0.11850717301126745	0.09855500123660843	1.2024470754838543	0.22919035954097178	0.4919775314476203
Pou4f2	10.154974868192639	-0.04045299305186712	0.3932938932972878	-0.10285690609818092	0.9180765401818246	0.9691722820797609
Pou5f1	9.075073147835274	0.04997620441692669	0.14912092243529315	0.3351387826789528	0.7375203984637033	0.8848700576641765
Pou5f2	52.709137152856606	0.12624894545353701	0.058864919041995825	2.144722994751213	0.031975001247115165	0.16024295791851156
Pou6f1	632.5357866517313	0.04068544382463675	0.030120924380363817	1.3507368934254909	0.1767797295898287	0.42833428345690877
Pou6f2	12.798492863284444	-0.05190440879597551	0.2611439251055759	-0.19875786417390898	0.8424521578294312	0.9374992056478588
Ppa1	1859.588587622128	0.013260638930812578	0.02817839642056333	0.4705959392755068	0.6379293080088845	0.8288976360291385
Ppa2	1439.4703510833515	-0.029287726759371857	0.018184876555053422	-1.6105540596168109	0.10727695373962765	0.3245735261470602
Ppan	457.96008207944226	-0.07775370436533001	0.04226529160813533	-1.8396585332056192	0.06581838504754123	0.24693234569438494
Ppara	776.8512042222507	-0.008230940467754504	0.05308437916469484	-0.15505390846180805	0.8767788183531395	0.9529728845781977
Ppard	648.3216667675414	0.1936151930713389	0.04847595776444447	3.9940457496922175	6.495532176309141e-5	0.0026144216846419877
Pparg	491.56737282853493	0.011660127674303845	0.06167793019838421	0.18904862139179415	0.8500547094411544	0.9415813816684144
Ppargc1a	859.2219320094842	0.10329435620804592	0.04576823267252579	2.2569006967588785	0.024014280506541818	0.1333276282585283
Ppargc1b	386.2557291991571	-0.016692440049641214	0.05079820362519881	-0.32860295952199403	0.7424558108174971	0.8876309985402773
Ppat	1179.6097936725487	-0.06041711904803123	0.025326807138085935	-2.3855008141621297	0.01705588462740446	0.10767161837416639
Ppbp	33.320652686792	0.09223019253197814	0.08752375866749244	1.053773214680664	0.2919867594956363	0.560302751377502
Ppcdc	568.6542984977889	-0.003579360523608832	0.02125011082720799	-0.16843961674900673	0.8662374436544121	0.9487713184813725
Ppcs	335.4188521620381	-0.040447205231912954	0.021703641206564185	-1.8636137985767958	0.06237595849563713	0.23963240935823896
Ppdpf	770.269341066301	-0.0042975431305158135	0.029531731226855124	-0.14552289865782667	0.8842980376699527	0.9556087633754305
Ppef2	14.227969692636238	-0.029905522909527707	0.0866012319097309	-0.34532445151241997	0.7298504663511759	0.880669546872428
Ppfia1	2712.0139255161666	-0.018809713818909248	0.02085978585883443	-0.9017213285985414	0.36720492004134864	0.6320082084522731
Ppfia2	63.448015395082635	0.05650974948471933	0.04120527302628269	1.3714203385735295	0.17024396085962762	0.4201113154712592
Ppfia3	39.469838903984396	0.0024338117717918697	0.1256599306386165	0.019368240611171688	0.9845473459749211	0.9956202957173266
Ppfia4	132.74755595259194	0.09357922279273259	0.057413389510137657	1.6299198425867023	0.10311843932913421	0.3176615530150694
Ppfibp1	3499.6327261820693	2.2888864044384974e-4	0.021206576986213036	0.010793285526120334	0.9913883713206613	0.9971961958899935
Ppfibp2	1254.5127121118373	0.00452304742777833	0.02484860461680312	0.18202420206403686	0.8555637326753982	0.9438595743746476
Pphln1	1095.1813960901789	0.04316775379382219	0.01578087131405132	2.735448058269478	0.006229541699413121	0.057502446165629814
Ppia	17093.96636351681	-0.07938412710229367	0.02151644321165099	-3.6894632779876817	2.247276621483366e-4	0.006139830418168167
Ppib	4297.3654760008385	-0.04227521563160808	0.023496144215275672	-1.7992405581220206	0.07198063632703282	0.25941382919912936
